,time,progenitor_pop_size,size_type_Cycling,whole_pop_size,size_type_PostMitotic
0,49.0,36.0,36.0,36.0,0.0
1,49.5,46.8,41.6,46.8,5.2
2,50.0,53.6,46.4,58.8,7.2
3,50.5,56.8,51.8,69.2,5.0
4,51.0,60.2,56.2,77.6,4.0
5,51.5,73.2,61.4,94.6,11.8
6,52.0,77.6,68.6,110.8,9.0
7,52.5,81.6,72.8,123.8,8.8
8,53.0,89.8,79.0,140.8,10.8
9,53.5,98.0,86.2,159.8,11.8
10,54.0,103.0,90.4,176.6,12.6
11,54.5,112.4,99.6,198.6,12.8
12,55.0,122.6,107.2,221.6,15.4
13,55.5,128.4,113.8,242.8,14.6
14,56.0,133.6,120.6,262.6,13.0
15,56.5,145.2,127.2,287.2,18.0
16,57.0,155.6,136.8,315.6,18.8
17,57.5,165.4,147.2,344.2,18.2
18,58.0,174.2,158.2,371.2,16.0
19,58.5,185.2,166.2,398.2,19.0
20,59.0,197.0,174.0,429.0,23.0
21,59.5,209.0,182.8,464.0,26.2
22,60.0,216.4,192.4,497.6,24.0
23,60.5,228.2,205.8,533.4,22.4
24,61.0,243.2,215.2,570.8,28.0
25,61.5,251.0,225.2,606.6,25.8
26,62.0,265.2,235.8,646.6,29.4
27,62.5,279.8,248.4,690.6,31.4
28,63.0,293.2,256.6,735.4,36.6
29,63.5,305.0,263.8,783.8,41.2
30,64.0,305.2,271.4,825.2,33.8
31,64.5,319.2,280.0,873.0,39.2
32,65.0,331.8,287.0,924.8,44.8
33,65.5,333.6,291.6,971.4,42.0
34,66.0,348.8,302.8,1028.6,46.0
35,66.5,359.0,307.8,1084.8,51.2
36,67.0,356.6,310.8,1133.6,45.8
37,67.5,363.0,315.2,1185.8,47.8
38,68.0,375.4,316.8,1246.0,58.6
39,68.5,375.8,321.4,1305.0,54.4
40,69.0,383.4,325.2,1367.0,58.2
41,69.5,381.0,324.4,1422.8,56.6
42,70.0,382.2,323.0,1480.6,59.2
43,70.5,384.8,323.4,1542.4,61.4
44,71.0,382.0,320.6,1601.0,61.4
45,71.5,382.4,317.2,1662.8,65.2
46,72.0,380.6,315.2,1726.2,65.4
47,72.5,374.8,317.0,1785.8,57.8
48,73.0,370.4,314.8,1839.2,55.6
49,73.5,376.4,316.4,1900.8,60.0
50,74.0,378.0,314.2,1962.4,63.8
51,74.5,374.2,310.2,2022.4,64.0
52,75.0,370.2,307.8,2082.4,62.4
53,75.5,368.2,303.2,2142.8,65.0
54,76.0,369.0,298.4,2208.6,70.6
55,76.5,354.6,295.2,2264.8,59.4
56,77.0,360.6,290.6,2330.2,70.0
57,77.5,350.2,286.8,2389.8,63.4
58,78.0,348.2,277.6,2451.2,70.6
59,78.5,338.8,275.6,2512.4,63.2
60,79.0,336.0,270.0,2572.8,66.0
61,79.5,331.6,262.2,2634.4,69.4
62,80.0,323.2,251.0,2695.4,72.2
63,80.5,307.6,245.0,2752.0,62.6
64,81.0,301.0,240.2,2808.0,60.8
65,81.5,296.6,236.2,2864.4,60.4
66,82.0,294.6,233.6,2922.8,61.0
67,82.5,286.6,230.6,2975.8,56.0
68,83.0,284.2,226.2,3029.4,58.0
69,83.5,279.2,218.4,3082.4,60.8
70,84.0,275.8,207.8,3139.8,68.0
71,84.5,260.2,204.6,3192.2,55.6
72,85.0,254.4,202.0,3242.0,52.4
73,85.5,248.8,194.2,3288.8,54.6
74,86.0,246.6,186.2,3341.2,60.4
75,86.5,234.4,181.4,3389.4,53.0
76,87.0,228.8,178.6,3436.8,50.2
77,87.5,220.2,173.6,3478.4,46.6
78,88.0,218.2,165.8,3523.0,52.4
79,88.5,207.6,160.4,3564.8,47.2
80,89.0,198.4,157.2,3602.8,41.2
81,89.5,197.4,154.4,3643.0,43.0
