,param,coeff,variation_neuron,neurons_std,baseline_neuron,baseline_neuron_std,unstability_neuron,robustness_neuron,variation_ratio,ratio_std,baseline_ratio,baseline_ratio_std,unstability_ratio,robustness_ratio
0,tc_coeff_RG_0,1.1,-818.29,70.15533327908862,6052.04,77.31191235508275,-0.1352089543360586,7.396014568155552,-0.002745179359870953,0.028679236225005057,0.7402295313748565,0.025181373072978335,-0.0037085515282972116,269.71978470634383
1,tc_coeff_RG_1,1.1,-311.3599999999997,72.43226137571573,6052.04,77.31191235508275,-0.05144711535283965,19.437813586926218,-0.0003029482754474122,0.025906253512057702,0.7402295313748565,0.025181373072978335,-0.00040926261734618294,2449.40378450584
2,tc_coeff_RG_2,1.1,-174.375,73.96025225670205,6052.04,77.31191235508275,-0.0288125987270408,34.70824404691786,-0.003235956071107937,0.026769072584297678,0.7402295313748565,0.025181373072978335,-0.004371557650635301,228.803754563137
3,tc_coeff_RG_3,1.1,-94.55000000000018,76.9362343080294,6052.04,77.31191235508275,-0.015622831309773263,64.01298158778505,-0.020126171419293737,0.02637675933433785,0.7402295313748565,0.025181373072978335,-0.0271890954984093,36.78080357112572
4,tc_coeff_IP_0,1.1,-30.710000000000036,74.28873606072457,6052.04,77.31191235508275,-0.005074322046780926,197.10950552301526,0.00018425604184024724,0.0272275751599365,0.7402295313748565,0.025181373072978335,0.0002489174425370756,4001.321355757906
5,tc_coeff_IP_1,1.1,59.4350000000004,79.30476087143192,6052.04,77.31191235508275,0.009820655514504267,101.81582916680759,0.0007346784915807092,0.028810526371094016,0.7402295313748565,0.025181373072978335,0.0009925009209186275,1006.5415934142902
6,tc_coeff_IP_2,1.1,-27.345000000000255,75.66796323329312,6052.04,77.31191235508275,-0.0045183111810233,221.37062511896102,0.0023088616906294934,0.02792179838901092,0.7402295313748565,0.025181373072978335,0.003119115886043018,320.50091615930853
7,tc_coeff_IP_3,1.1,-49.63500000000022,76.66065323798773,6052.04,77.31191235508275,-0.008201366811851907,121.94576449369437,0.014647691170503352,0.02633824284376722,0.7402295313748565,0.025181373072978335,0.01978803945216511,50.53302371836902
8,diff_coeff_RG_0,1.1,922.4700000000003,79.20098199833132,6052.04,77.31191235508275,0.1524229846464994,6.560647278177334,-0.00029239590706953145,0.023550497362767847,0.7402295313748565,0.025181373072978335,-0.0003950070818256243,2538.025447071964
9,diff_coeff_RG_1,1.1,679.8599999999997,82.84712427115379,6052.04,77.31191235508275,0.11233567524338896,8.901812322942593,0.00013781295784920378,0.024676290431250053,0.7402295313748565,0.025181373072978335,0.00018617597921720107,5342.565879351372
10,diff_coeff_RG_2,1.1,459.16499999999996,84.61827323264758,6052.04,77.31191235508275,0.07586945889319964,13.180360506421442,-0.001759824629723461,0.025906604435032825,0.7402295313748565,0.025181373072978335,-0.002377403974217121,420.80387461455854
11,diff_coeff_RG_3,1.1,65.03999999999996,78.63717325794461,6052.04,77.31191235508275,0.010746789512296673,93.04238781899183,-0.030189362103899664,0.026858327802056915,0.7402295313748565,0.025181373072978335,-0.0407837850616792,24.520149825168065
12,diff_coeff_IP_0,1.1,32.02000000000044,76.04942558625936,6052.04,77.31191235508275,0.005290777985604926,188.9724026065099,-0.003555308413032865,0.024539976043029526,0.7402295313748565,0.025181373072978335,-0.004802981051606325,208.24738566294158
13,diff_coeff_IP_1,1.1,-18.835000000000036,75.18207475771734,6052.04,77.31191235508275,-0.0031121737463731297,321.42210031366983,-0.0034026995918114977,0.026277121933649956,0.7402295313748565,0.025181373072978335,-0.00459681686232044,217.5891751037045
14,diff_coeff_IP_2,1.1,86.46000000000004,78.16344446094989,6052.04,77.31191235508275,0.014286091962379633,69.99325003528863,-0.0015709367673630847,0.024886454464209548,0.7402295313748565,0.025181373072978335,-0.0021222292556274053,471.4247634229548
15,diff_coeff_IP_3,1.1,56.9350000000004,79.38264244704254,6052.04,77.31191235508275,0.009407571661786835,106.28605870767045,0.013093676747762517,0.02454968418043502,0.7402295313748565,0.025181373072978335,0.01768867113886031,56.53016340158072
