,param,coeff,variation_neuron,baseline_neuron,unstability_neuron,robustness_neuron,variation_ratio,baseline_ratio,unstability_ratio,robustness_ratio
0,tc_coeff_RG_0,1.1,-231.83333333333303,2362.6,-0.09812635796721114,10.191045624864397,-0.019238665097587537,0.7467876457243183,-0.025761895242559514,38.818526708182965
1,tc_coeff_RG_1,1.1,-56.19999999999982,2362.6,-0.0237873529162786,42.040913271560555,-0.007473330716328275,0.7467876457243183,-0.010007303627900541,99.93700343168715
2,tc_coeff_RG_2,1.1,-4.233333333333121,2362.6,-0.0017918112813566076,558.4061315732063,-0.007279201263297508,0.7467876457243183,-0.009747350943704113,102.60250280090455
3,tc_coeff_RG_3,1.1,57.40000000000009,2362.6,0.024295267925167226,41.15858464682769,-0.031008653981206336,0.7467876457243183,-0.04152271955587946,24.083780987302593
4,tc_coeff_IP_0,1.1,21.833333333333485,2362.6,0.009241231411721614,108.1989787370757,-0.008364953616896154,0.7467876457243183,-0.011201247991700351,89.28373735483568
5,tc_coeff_IP_1,1.1,142.80000000000018,2362.6,0.06044188605773308,16.54454420069936,-0.010805884404823662,0.7467876457243183,-0.014469822133095018,69.11412627795505
6,tc_coeff_IP_2,1.1,-184.76666666666642,2362.6,-0.07820480261858395,12.787101988853482,0.0019300384658565983,0.7467876457243183,0.0025844541977989347,386.77923625617746
7,tc_coeff_IP_3,1.1,-143.69999999999982,2362.6,-0.06082282231439932,16.44146725546653,0.010586755021860905,0.7467876457243183,0.01417639282395022,70.53483051627626
8,diff_coeff_RG_0,1.1,1358.7333333333336,2362.6,0.5751008775642655,1.7388223530677895,0.008087876136465888,0.7467876457243183,0.010830222196058639,92.32568420246137
9,diff_coeff_RG_1,1.1,682.0666666666666,2362.6,0.2886932475521318,3.4638722748343715,-0.01211566364148331,0.7467876457243183,-0.016223706579575486,61.64199513162667
10,diff_coeff_RG_2,1.1,474.0666666666666,2362.6,0.2006546460114563,4.983662408098428,-0.012065782986415918,0.7467876457243183,-0.01615691295309682,61.89684253085287
11,diff_coeff_RG_3,1.1,48.80000000000018,2362.6,0.02065521036146626,48.41159063065506,-0.0516143294419138,0.7467876457243183,-0.06911513565794522,14.468820169424228
12,diff_coeff_IP_0,1.1,-116.23333333333312,2362.6,-0.04919721211095113,20.32676820208682,-0.014393817501686113,0.7467876457243183,-0.019274311223675074,51.885220364812746
13,diff_coeff_IP_1,1.1,-110.5,2362.6,-0.046770507068483874,21.381452631855094,-0.00851754068149746,0.7467876457243183,-0.011405572561710223,87.68412797489717
14,diff_coeff_IP_2,1.1,-54.566666666666606,2362.6,-0.023096024154180397,43.29937017273011,0.004581674152541737,0.7467876457243183,0.0061351766847962735,162.9679279734105
15,diff_coeff_IP_3,1.1,-60.13333333333321,2362.6,-0.025452185445413195,39.290900698702806,0.026562170103765936,0.7467876457243183,0.035568571943906446,28.1139171867744
