,param,coeff,variation_neuron,neuron_std,baseline_neuron,baseline_neuron_std,unstability_neuron,robustness_neuron,variation_ratio,ratio_std,baseline_ratio,baseline_ratio_std,unstability_ratio,robustness_ratio,neurons_std
0,tc_coeff_RG_0,1.1,585.335,,3854.04,917.7239009636831,0.1518756940768648,6.584288696025342,0.013177004182142182,0.00706925021771011,0.7395690270410973,0.028483518220325296,0.017817139036854158,56.12258372951571,3.637908052713812
1,tc_coeff_RG_1,1.1,-154.4699999999998,,3854.04,917.7239009636831,-0.04008001992714134,24.950709918003867,0.002300792295800602,0.026974337596998705,0.7395690270410973,0.028483518220325296,0.003110990606253105,321.3377309014498,774.6409911049118
2,tc_coeff_RG_2,1.1,-177.84000000000015,,3854.04,917.7239009636831,-0.04614378677958717,21.671859672818545,0.006001416720263775,0.04440490789858863,0.7395690270410973,0.028483518220325296,0.008114748591182254,123.2172225106256,890.3570968998897
3,tc_coeff_RG_3,1.1,372.1999999999998,,3854.04,917.7239009636831,0.09657398470176745,10.354648287940124,0.0024016433311375707,0.026553543802290924,0.7395690270410973,0.028483518220325296,0.0032473552073241613,307.8481065572111,895.8566528189652
4,tc_coeff_IP_0,1.1,240.42000000000007,,3854.04,917.7239009636831,0.06238129339602082,16.030189747140444,0.011657943492722866,0.03949374334407078,0.7395690270410973,0.028483518220325296,0.015763158091361015,63.43504005761109,838.5555487861253
5,tc_coeff_IP_1,1.1,311.71000000000004,,3854.04,917.7239009636831,0.08087876617782899,12.364031787645338,-0.009070321547188565,0.037608234129268475,0.7395690270410973,0.028483518220325296,-0.012264333977691758,81.54389351371339,720.822105307544
6,tc_coeff_IP_2,1.1,228.51999999999998,,3854.04,917.7239009636831,0.05929362435262737,16.86493524358907,0.005071342346975816,0.035678026329331765,0.7395690270410973,0.028483518220325296,0.006857158914923035,145.81172766703415,986.9875614211153
7,tc_coeff_IP_3,1.1,-170.00999999999976,,3854.04,917.7239009636831,-0.044112152442631565,22.670003947426736,0.021864218934368962,0.039220776385830415,0.7395690270410973,0.028483518220325296,0.029563459440485714,33.82439655333577,892.1027794486461
8,diff_coeff_RG_0,1.1,777.7700000000004,,3854.04,917.7239009636831,0.2018064161243787,4.955219283832841,0.0054975095279306,0.03099699851188961,0.7395690270410973,0.028483518220325296,0.007433396108981599,134.50991652057468,1093.9736806249043
9,diff_coeff_RG_1,1.1,510.6800000000003,,3854.04,917.7239009636831,0.13250511151934083,7.546821716627298,-0.011874293670080083,0.031330949086707124,0.7395690270410973,0.028483518220325296,-0.016055693567356814,62.28708108345642,903.3173758984158
10,diff_coeff_RG_2,1.1,509.15999999999985,,3854.04,917.7239009636831,0.13211072017934425,7.569351141915951,0.0024005069714608807,0.020687737642115185,0.7395690270410973,0.028483518220325296,0.0032458186912788147,307.9937917956648,1161.2300719495684
11,diff_coeff_RG_3,1.1,-80.40000000000009,,3854.04,917.7239009636831,-0.020861226141918633,47.93811884860153,-0.016301404756614013,0.029853259864439378,0.7395690270410973,0.028483518220325296,-0.022041762378602364,45.370481420861424,1025.1221538919156
12,diff_coeff_IP_0,1.1,233.21000000000004,,3854.04,917.7239009636831,0.06051052921090597,16.525776377500147,-0.009010528723607525,0.032763036390758775,0.7395690270410973,0.028483518220325296,-0.012183485779085793,82.08505375124211,818.1710258252855
13,diff_coeff_IP_1,1.1,225.44999999999982,,3854.04,917.7239009636831,0.05849705763302919,17.094584683019967,-0.008664512650916611,0.038672991962805235,0.7395690270410973,0.028483518220325296,-0.011715624010894566,85.36338845105084,847.4305221668616
14,diff_coeff_IP_2,1.1,692.8199999999997,,3854.04,917.7239009636831,0.17976461064233887,5.5627992274317535,0.010005868599055945,0.02931602300390718,0.7395690270410973,0.028483518220325296,0.013529323475170258,73.90806301380142,876.8978277997956
15,diff_coeff_IP_3,1.1,338.59000000000015,,3854.04,917.7239009636831,0.0878532656640824,11.38248658094278,0.03064385201624087,0.02457910698552359,0.7395690270410973,0.028483518220325296,0.0414347422563682,24.133753748463654,1030.7059877093952
